BoxNumber,FolderNumber,Contents,Date
1,1,[Provenance documents and biographical sources],n.d.
1,2,[Provenance documents and biographical sources],n.d.
1,3,[Provenance documents and biographical sources],n.d.
1,4,"Aberdeen, George Hamilton-Gordon, 4th Earl of, 1784-1860. 1 ALS, 1 LS, 1 AL to T. J. Pettigrew",1846 Aug
1,5,"Abingdon, Montagu Bertie, 6th Earl of, 1808-1884. 2 ALS to T. J. Pettigrew","1859, 1860"
1,6,"Acland, Sir Thomas Dyke, bart., 1787-1871. ALS to T. J. Pettigrew",n.d.
1,7,"Aikin, Arthur, 1773-1854. 3 ALS to T. J. Pettigrew",1823-30
1,8,"Ailesbury, George William Frederick Brudnell-Bruce, 2d Marquess of, 1804-1878. 5 ALS to T. J. Pettigrew",1858-59
1,9,"Ainslie, Sir Whitelaw, 1767-1837. 1 ALS and 2 AL to T. J. Pettigrew",1828 Jun
1,10,"Ainsworth, William Francis, 1807-1896. 5 ALS to T. J. Pettigrew",1843-56
1,11,"Ainsworth, William Harrison, 1805-1882. 5 ALS to T. J. Pettigrew",1854-60
1,12,"Akerman, John Yonge, 1806-1873. 9 ALS and 2 LS to T. J. Pettigrew",1849-56
1,13,"Albemarle, Charlotte (Hunloke) Keppel, Countess of, d. 1862. AL to Mr. Stephenson",1822 Mar 8
1,14,"Albemarle, George Thomas Keppel, 6th Earl of, 1799-1891. 4 ALS to T. J. Pettigrew",1857 Jul-Aug
1,15,"Alcock, Thomas, 1784-1833. 3 AL to T. J. Pettigrew",1830-33
1,16,"Amyot, Thomas, 1775-1850. 6 ALS to T. J. Pettigrew",1827 and later
1,17,"Anderson, Joseph, 1789-1877. 3 ALS to T. J. Pettigrew",1843-47
1,18,Anglo-Biblical Institute. ALS (signed W. H. Clarke) to T. J. Pettigrew,1859 Nov 28
1,19,"Arran, Mary (Tyrrell), Countess, 1767?-1832. AL to Augustus Frederick, Duke of Sussex",[1824 or later]
1,20,"Arundale, Francis, 1807-1853. ALS to T. J. Pettigrew",n.d.
1,21,"Arundell, Henry Benedict Arundell, 11th Baron, 1804-1862. 2 ALS to T. J. Pettigrew",1852 Jun-Sep
1,22,"Arundell, John Francis Arundell, 12th Baron, 1831-1906. 2 ALS to T. J. Pettigrew",1860 Mar
1,23,"Ashburton, Alexander Baring, 1st Baron, 1774-1848. 2 ALS to T.J. Pettigrew.",[1839 or later]
1,24,"Ashburton, William Bingham Baring, 2d Baron, 1799-1864. ALS to T. J. Pettigrew",n.d.
1,25,"Ashpitel, Arthur, 1807-1869. 3 ALS to T. J. Pettigrew",1850 Aug
1,26,"Auckland, George Eden, 1st Earl of, 1784-1849. ALS to T. J. Pettigrew",1828 Dec 7
1,27,"Auckland, Robert John Eden, 3d Baron, Bp. of Bath and Wells, 1799-1870. 6 ALS to T. J. Pettigrew",1856-59
1,28,"Ayrton, William, 1777-1858. ALS to T. J. Pettigrew",1827 Feb 1
1,29,"Babington, Benjamin Guy, 1794-1866. 3 ALS and 1 AL to T. J. Pettigrew",1830-38
1,30,"Babington, William, 1756-1833. AL to T. J. Pettigrew",1817 Jun 6
1,31,"Baird, [William?], 1803-1872. 2 ALS and 3 AL to T. J. Pettigrew",1831-34
1,32,"Banks, Thomas Christopher, 1765-1854. ALS to T. J. Pettigrew",1845 Jun 30
1,33,"Baring, Charles, Bp. of Durham, 1807-1879. 2 ALS to T. J. Pettigrew",[1850]-1865
1,34,"Baring, Sir Thomas, 1772-1848. AL to Mr. Stephenson",1831 Mar 24
1,35,"Baron, John, 1786-1851. 2 ALS to T. J. Pettigrew",[1836 or later]
1,36,"Barrington, William Keppel Barrington, 6th Viscount, 1793-1867. AL to T. J. Pettigrew",1834 Mar 28
1,37,"Bateman, Thomas, 1821-1861. 4 ALS to T. J. Pettigrew",1850-52
1,38,"Bateman, William Bateman Bateman-Hanbury, 2d Baron, 1826-1901. ALS and 1 AL to T. J. Pettigrew","1857, 1858"
1,39,"Beattie, William, 1793-1875. 15 ALS to T. J. Pettigrew",1829-[36]
1,40,"Beaufort, Emily Frances (Smith), Duchess of, 1800?-1889. AL to T. J. Pettigrew",1829 Jul 31
1,41,"Beaufort, Sir Francis, 1774-1857. ALS to Sir Gardner Wilkinson",1850 Jan 15
1,42,"Beaufort, Henry Charles Fitzroy Somerset, 8th Duke of, 1824-1899. ALS and AL to T. J. Pettigrew","1854 Jul, Oct"
1,43,"Beaumont, Sir George Howland, bart., 1753-1827. AL to Lord Ferrers",n.d.
1,44,"Bedford, John Russell, 6th Duke of, 1766-1839. 3 ALS and 1 AL to T. J. Pettigrew",1827-34
1,45,"Bell, Robert, 1800-1867. ALS to T. J. Pettigrew",1857 Mar 30
1,46,"Bell, Thomas, 1792-1880. 3 ALS and 2 LS to T. J. Pettigrew",[1834]-53
1,47,"Beltz, George Frederick, 1777-1841. ALS to T. J. Pettigrew",1829 Mar 5
1,48,"Bernal, Ralph, d. 1854. ALS to T. J. Pettigrew",1853 Nov 10
1,49,"Berry, William, 1774-1851. 2 ALS to T. J. Pettigrew","1831 Apr, Jun"
1,50,"Berwick, Richard Noel Noel-Hill, 5th Baron, 1800-1861. ALS to T. J. Pettigrew",1860 May 15
1,51,"Betham, Sir William, 1779-1853. 22 ALS to T. J. Pettigrew",1826-52
2,52,"Billing, Archibald, 1791-1881. 2 AL to T. J. Pettigrew",1828 Jun
2,53,"Birkbeck, George, 1776-1841. 10 ALS to T. J. Pettigrew",1821-37
2,54,"Blaauw, William Henry, 1793-1870. 2 AL to T. J. Pettigrew",n.d.
2,55,"Black, William Henry, 1808-1872. ALS to T. J. Pettigrew",1849 Feb 28
2,56,"Blane, Sir Gilbert, bart., 1749-1834. ALS and AL to T. J. Pettigrew",1827 Nov
2,57,"Blessington, Charles John Gardiner, 2d Earl of, 1782-1829. 6 ALS to T. J. Pettigrew",[1820]-26
2,58,"Blessington, Margaret (Power) Farmer Gardiner, Countess of, 1789-1849. 2 ALS to T. J. Pettigrew",1821-[35]
2,59,"Blundell, James, 1790-1877. 6 ALS to T. J. Pettigrew",[1833]-38
2,60,"Bolland, Sir William, 1772-1840. ALS to T. J. Pettigrew",1827 Mar 26
2,61,"Bonney, Henry Kaye, 1780-1862. 2 ALS to T. J. Pettigrew",1852 Aug
2,62,"Bonomi, Joseph, 1796-1878. 4 ALS to T. J. Pettigrew, and 1 calling card.",1845-57
2,63,"Boston, George Ives Irby, 4th Baron, 1802-1869. 6 ALS to T. J. Pettigrew",[1857-62]
2,64,"Bowers, George Hull, 1794-1872. ALS to T. J. Pettigrew",1850 May
2,65,"Boyd, Sir William. 4 ALS to T. J. Pettigrew",1843-[54]
2,66,"Boyne, Gustavus Frederick John James Hamilton-Russell, 7th viscount, 1797-1872. 2 ALS to T. J. Pettigrew","1860, 1865"
2,67,"Brande, William Thomas, 1788-1866. 2 ALS to T. J. Pettigrew",[1806 or later]
2,68,"Braybrooke, Charles Cornwallis Neville, 5th Baron, 1823-1902. 2 AL to T. J. Pettigrew","1861, 1862"
2,69,"Braybrooke, Richard Cornwallis Neville, 4th Baron, 1820-1861. 4 ALS and 1 AL to T. J. Pettigrew",1859 Jul
